violent_pos_idx,violent_video,violent_label,violent_text,closest_nonviolent_pos_idx,closest_nonviolent_video,closest_nonviolent_text,similarity
228,Fighting038_x264,Fighting,"Two men in white quickly ran into the store The man in white wearing a hat punches and kicks another The man who was beaten stood up, and the two were eager to try. The beaten man attacked the man wearing a hat and then sat down on the ground The man...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.48823899030685425
65,Arrest030_x264,Arrest,A man wearing a hat and a black and gray coat walked to the door while talking on the phone. A man in white walked to a window with a black bag in his hand. Another man in gray clothes and a hat holds a large piece of yellow cloth in his hand. The ma...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4861448407173157
11,Abuse012_x264,Abuse,The five babies in the room were each lying in their own cribs. The baby under the window showed signs of waking up and began to turn over. A woman in a pink top walked up to the baby and beat the baby with her fists. The woman stopped beating the ba...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.4859498143196106
40,Arrest005_x264,Arrest,A man wearing a blue T-shirt and hat was checking out at a supermarket checkout counter. A man in a black jacket with a hood on his head walked behind the man in blue and pushed him away. The man in blue took advantage of the hooded man's defenseless...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.4845494031906128
192,Fighting002_x264,Fighting,"Several men talking at the bar A woman with a high ponytail and short-sleeved trousers raised her arms at the bar to give instructions to the man. Man throwing chair at woman The woman turned around and faced the men opposite, raised her hands and sa...",553,Vandalism008_x264,"A man in blue clothes, gray pants and black shoes walked up to a man in white who was leaning on the railing. There are five people standing next to you on the street The man in blue walked to the man in white while shaking his body. Three of the fiv...",0.4835045337677002
47,Arrest012_x264,Arrest,"A row of people stood around watching and talking. Two people threw a man in white out and returned. Two policemen ran over, one of them pressed the man in white to the ground, and the other was pointed by a man and ran to the left. The number of onl...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4823146462440491
408,Robbery074_x264,Robbery,A masked robber confronts another man through a glass door. The robber opened the door and the man quickly resisted. The robber broke the door open and then smashed the door with bricks. The robber ran away...,528,Stealing058_x264,A masked man picked the lock in front of the door and gestured to the back Three masked men gathered in front of the car door to pick the lock from the entry shot A man wearing a hat smashed the window and got into the car The remaining masked men en...,0.48229727149009705
212,Fighting022_x264,Fighting,A man in black and a man in shorts and a shirt walked from the crowd on the left to the center and pushed each other. The man in black left. The man in shorts and shirt turned around and pushed down a man in black and shorts. A man in a purple top an...,554,Vandalism009_x264,A shirtless man wearing jeans walked to the middle of the road and pointed behind him The bare-chested man wearing jeans took a slight approach and kicked the luminous object on the right. Another shirtless man wearing jeans ran out and punched the o...,0.48201116919517517
146,Burglary026_x264,Burglary,A man wearing a hat and clothes with GAP printed on the front climbed into the room from the window. The man looked around and left the camera The man pushed a bicycle to the window The man pushed the front wheel of a bicycle against the window The m...,521,Stealing050_x264,"A man rode a bicycle to a black car and opened the door and entered it. After searching, the man left the car The man got on his bicycle and left...",0.4806644320487976
444,Shooting027_x264,Shooting," Several people were running on the road on the left. A man in a white shirt walked out of the room on the right, shooting as he walked forward. The man in the white shirt ran back to the room on the right A man is lying on the ground at the door of ...",563,Vandalism018_x264,"A man in white walked into the store from the door, and a glass door in the store opened Many people rushed into the store Many people running in the store Many people ran in the opposite direction in the store, and many goods were knocked to the gro...",0.48006319999694824
18,Abuse019_x264,Abuse,"Two women were communicating next to the bed. The woman with her hair all tied up on her head lifted the sheet covering the old man on the bed. The two women were talking and tidying up the sheets, sometimes looking at each other. The woman with brai...",720,Normal_Videos026_x264,"In a back kitchen, a man wearing a red shirt and a black vest left the room, and then a man wearing white short sleeves also left the room. A woman wearing white short-sleeves and a red hat walked in. The woman walked to the sink to wash her hands. T...",0.4785214066505432
70,Arrest035_x264,Arrest,A woman in black walked to the counter carrying a bag. Took out a knife and pointed it at the clerk. The woman stabbed the clerk with a knife. The clerk reached for the knife. The woman stepped back and pointed the knife at the clerk. The clerk press...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.47790125012397766
121,Burglary001_x264,Burglary,"A truck backed up quickly, broke through the door, and then drove forward. The truck is moving forward again. Two men got off the car and broke into the door, and one person entered the room. Another person ran in Another person pushed down an iron f...",537,Stealing068_x264,"A gray car drove past the white truck. The gray car drove back to the white truck A man in gray rushed to the back of the white car from behind  After two more people got out of the gray car, they pried open the door and moved the contents of the tru...",0.4772246479988098
42,Arrest007_x264,Arrest,A man walked into the room with a box in his hand and placed the box on a washing machine in the back. The man tried to move 2 washing machines in the room. The man walked back to the washing machine where the box was placed. The man took out an obje...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.47660523653030396
351,Robbery017_x264,Robbery,"There is a man and a woman at the counter. The man is wearing a blue shirt and the woman is wearing a black coat. A man wearing a hat came in from the door and stood next to the cashier, communicating with the man in a blue shirt. The man in the hat ...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.474204957485199
144,Burglary024_x264,Burglary,A shirtless man entered a workstation in an office. The man squatted down in front of the work station Man looking through drawers Rifled through the drawers and side cabinets and took away two items similar to hard drives. The man stood up while obs...,780,Normal_Videos099_x264,There are many desks with partitions in a large office Some people in the office are looking at the computer A man wearing a white shirt and gray pants stood up from the chair and walked along the aisle next to the desk A man in a dark blue shirt sat...,0.4741196632385254
105,Assault010_x264,Assault,"In a large room with many beds and multiple large tables, two people were sitting at the table chatting, while others were lying on the bed sleeping. One person was woken up and got up. The man got up and swept the floor with a broom. Some men in the...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.4731471836566925
184,Burglary064_x264,Burglary,A man in black wearing a black hood crawled out from the shelf at the door of the pharmacy. The man turned the trash can over and dumped the garbage inside. The man in black continues to crawl towards the counter. The man sat down in front of a large...,91,Arson015_x264," Three people wearing hoods came from the stairs to a door. There was a layer of railings in front of the door. A man kept hitting the door lock with an ax, but he didn't open it.  Two more people with hoods came up from the stairs, one carrying a la...",0.4714895188808441
208,Fighting018_x264,Fighting,A man snatched the mobile phone of a woman standing by the wall looking at her mobile phone Woman hits man with bag The woman kicked the man in the lower body and made him kneel on the ground. The woman kicked the man in the face and caused him to fa...,575,Vandalism030_x264,"Two people wearing down jackets ran from the road to the sidewalk. The person running in front kicked the black trash can placed on the roadside, and then the person running behind grabbed the person in front. After a few pushes, they started pushing...",0.4708092212677002
169,Burglary049_x264,Burglary,"A man wearing a white hoodie (dark sleeves) and blue jeans, holding a large blue handbag with red and white patterns in his right hand, broke the lower left part of the glass door with a tool, and then used Kicked to pieces. The man kicked in the gla...",553,Vandalism008_x264,"A man in blue clothes, gray pants and black shoes walked up to a man in white who was leaning on the railing. There are five people standing next to you on the street The man in blue walked to the man in white while shaking his body. Three of the fiv...",0.4697607755661011
102,Assault007_x264,Assault,"In a room with two cash machines, a man was sleeping next to the cash machine inside. There is a figure shaking at the door. A man with a yellow turban on his head crept in with a stick.  Use the stick in his hand to hit the man lying on the ground o...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.46941816806793213
194,Fighting004_x264,Fighting," Behind the pool table, a man in black punched another man in a jacket, who then fought back. A man in yellow clothes rushed in from below and beat the man in a jacket Onlookers joined in the fight. A man in a blue jacket picked up a pool cue and swu...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.46831393241882324
73,Arrest038_x264,Arrest,"A man in black is holding a knife, and there are two policemen with guns in front of him. The man waved a knife at a policeman. One of the police's guns fell to the ground. The man walked back and forth. Several policemen appeared and pointed their g...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4677885174751282
425,Shooting007_x264,Shooting,There is a man in blue clothes walking on the road There is a man in black clothes running on the grass Three people appeared The man in blue answered the man in black The two walked away A child came over...,735,Normal_Videos046_x264,"In a store, a man stood behind the counter and was sorting the goods in a blue plastic basket on the counter. At the entrance of the store, two adults walked past with a little girl in their hands, followed by a little boy. A man in black clothes wal...",0.4675776958465576
156,Burglary036_x264,Burglary,"A man with a gray woolen hat walked into the bar, The man took out cash from the cash register with the small drawer below open and put it into his pocket. The man continued to rummage in the cabinet at the bottom left of the cash register. The man s...",582,Normal_Videos_019_x264,The woman with blond hair and black clothes in the lower left corner is talking on the phone with her back to the cash register and fiddling with something in her hand The woman with blond hair and black clothes turned around to check the status of t...,0.4663204252719879
123,Burglary003_x264,Burglary,A man is rummaging through a large cardboard box The man took out a small cardboard box from a large cardboard box and clamped it under his arm. The man took out a second small carton from a large carton and put it under his arm. The man looked back ...,1024,Normal_Videos378_x264,"In a hall, a man held a black cardboard and walked slowly from the door to stand in front of the camera....",0.46623191237449646
122,Burglary002_x264,Burglary,A man in white entered the room and came to the refrigerator and opened the refrigerator door. The man squatted in front of the refrigerator. Man takes something out of the refrigerator MAN STAND UP The man hid the refrigerator The man walked towards...,469,Shoplifting022_x264,Two people entered the supermarket one after another. The boy took a box of snacks from the shelf and hid it in his clothes. The girl came forward and took a box of things and put them into her clothes. The boy took out the things from his clothes an...,0.4648435115814209
13,Abuse014_x264,Abuse," There are three cars on the road, two green cars and one black car. There is a green car and a black car opposite each other. There is a green trash can on the left side of the street. There are some green plants next to the trash can and there is n...",1152,Normal_Videos521_x264,The video was shot on a small road with some vehicles parked on both sides of the road. A man in a blue shirt appears from below the video and leaves from above A person holding a child walks into a house on the left side of the road A white van driv...,0.46470850706100464
41,Arrest006_x264,Arrest,"A white car parked in front of the garage. A red car passed below. A red car drove up and spun around on the lawn twice before hitting a flagpole. A policeman rushed over, opened the door of the red car, and pushed the driver down on the lawn. Multip...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.464603990316391
164,Burglary044_x264,Burglary,"A Caucasian man wearing white clothes and pants, with a bald head and a thin face came to the door of a house. The man first reached out and pulled the door handle. The man inserted a metal rod into the door to pry it open The man pulled the door han...",500,Stealing023_x264,"A black car slowly drove from the road onto the sidewalk, and then slowly returned to its original position The black car slowly drove forward for a few steps, and then returned to its original position. The black car drove a few steps and then fell ...",0.46364539861679077
39,Arrest004_x264,Arrest,A woman in a red top is walking in an alley. A silver car was driving in an alley. A white car drove from the opposite side of the silver car and stopped in front of the silver car. Three police motorcycles came from behind the white car and stopped ...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4635063111782074
336,Robbery002_x264,Robbery,The head of a man with long white hair enters the screen. A man in black clothes wearing a hat and holding a pistol walked towards the counter. He reached for the yellow paper bag next to the counter and stuffed the paper bag and the pistol into his ...,865,Normal_Videos199_x264,"The bank staff has been counting the number of banknotes in their hands. During this period, they will turn their heads and look around at other staff, count a dozen and put them together. The staff talked with the man in the yellow hat who came to t...",0.46232762932777405
437,Shooting020_x264,Shooting,A person hurriedly walked into the hall A person ran past the corridor A person walks forward with a gun aimed at others The man with the gun ran wildly in the mall Two people running towards each other collided Two people stood up and ran away The m...,563,Vandalism018_x264,"A man in white walked into the store from the door, and a glass door in the store opened Many people rushed into the store Many people running in the store Many people ran in the opposite direction in the store, and many goods were knocked to the gro...",0.4602144956588745
180,Burglary060_x264,Burglary,"A man wearing light-colored clothing, a baseball cap on his back, and a backpack came to a storage room with glass windows on all sides. Trying to pry open the outermost bicycle but failed. The man then walked inside,  Lift the innermost bicycle dire...",495,Stealing018_x264,"A man in a plaid shirt ran to a black jeep parked on the side of the road and started to pry the door The man in the plaid shirt dropped his tools on the ground, and the man bent down to pick them up. After picking it up, continue to pry the door of ...",0.45961591601371765
433,Shooting015_x264,Shooting,There is a white old man nearby crossing the road and walking towards the distance There is a woman in red putting things on the counter in the distance A man pressed against the security guard’s neck There is a woman in red in the distance walking f...,594,Normal_Videos_056_x264,There is a woman in red putting things on the counter in the distance There is a woman in red in the distance leaving the cashier in the distance and going to the cashier nearby A man in blue manages the cashier in the distance The woman in red is ta...,0.4590478837490082
397,Robbery063_x264,Robbery,"A man looks back while walking forward Three motorcycles and a person on foot blocked him on the side of the road.  Several people robbed the man. The man trotted backwards, and several people rode away. The man walked forward. The man stood there an...",483,Stealing006_x264,There are many cars and motorcycles traveling in opposite directions on the road A motorcycle carrying two people stopped behind a white car. The person on the back seat of the motorcycle got off the motorcycle and stood aside. The man in brown cloth...,0.45898303389549255
103,Assault008_x264,Assault,5 or 6 people outside the hospital stood together and talked. A fat man wearing a black coat entered the yard. The man reached out to say hello in the distance. The man in the plaid sweater walked into the warehouse from the yard. The man in a black ...,553,Vandalism008_x264,"A man in blue clothes, gray pants and black shoes walked up to a man in white who was leaning on the railing. There are five people standing next to you on the street The man in blue walked to the man in white while shaking his body. Three of the fiv...",0.45831766724586487
64,Arrest029_x264,Arrest,"A man in white and a woman in black escorted another woman in black past. A man is walking back and forth, flanked by two male police officers, a man and a woman. The woman in black was holding a mobile phone. The police took the mobile phone away an...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.45783472061157227
69,Arrest034_x264,Arrest,"Two people on the lower left are talking. Multiple pedestrians passed by. A white truck passes and stops behind another white truck. A man talking in the lower left and another man entered a white car. The white truck in front left, and the white tru...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.45769232511520386
142,Burglary022_x264,Burglary,"The two people appeared at the door and took out tools and started to pry the door, but they failed. A man smashed the lock with a hammer  Hammer a small part of the door open The man touched the broken area with his hand The man continues to smash t...",553,Vandalism008_x264,"A man in blue clothes, gray pants and black shoes walked up to a man in white who was leaning on the railing. There are five people standing next to you on the street The man in blue walked to the man in white while shaking his body. Three of the fiv...",0.45737773180007935
3,Abuse004_x264,Abuse,"Two bald policemen in black uniforms held the iron mesh gate and talked to a male prisoner sitting on a black chair. The male prisoner was wearing a blue shirt and gray-green trousers. , and a pair of black sneakers, during which the two police offic...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.45632240176200867
355,Robbery021_x264,Robbery,"A man in a blue hoodie and a man in a gray hoodie suddenly broke into the supermarket. The man in the blue hoodie broke into the checkout counter, and the man in the gray hoodie threatened the clerk with a knife outside the checkout counter. The came...",466,Shoplifting019_x264,"A man wearing two hats suddenly took away a box of things on the counter and ran out; a man with a white beard at the counter immediately went to grab it, but didn't get it. The man wearing two hats ran out; taking advantage of the chaos, the man wea...",0.45543673634529114
61,Arrest026_x264,Arrest,"A woman sitting on a chair in the room was talking to a policeman sitting on another chair. There were two policemen standing next to her. One policeman said something to another policeman. The woman suddenly stood up and wanted to leave, but was sto...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.453912615776062
438,Shooting021_x264,Shooting,"A white car drove into the garage The garage door slowly closes The garage door was lifted and a man walked in The man opened the door of the white car, and the person sitting in the car shot at the man The person sitting in the car came out and kept...",744,Normal_Videos060_x264,"There is a white car in a garage full of debris. The rolling shutter door of the garage slowly opens, and then the sunlight outside flashes into the garage. A middle-aged man wearing a black jacket and jeans approached the garage, opened the door of ...",0.45348039269447327
222,Fighting032_x264,Fighting,A man appeared at the counter carrying a fluorescent bag The police at the counter yelled and then went out The man clamped his hands on the policeman’s neck and pushed him to the counter Two people struggled together Other police officers came to he...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4534749388694763
67,Arrest032_x264,Arrest,"A man in blue was standing in front of the counter with handcuffs, and next to him was a policeman in yellow police uniform. The man in blue turned and rushed towards the police. The police pinned him down on the counter. A policeman in white police ...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4531104564666748
182,Burglary062_x264,Burglary,"A white pickup truck moved forward slowly on the path beside the parking lot, then reversed and parked at the side of the parking lot. A man got out of a car parked in the parking lot, Running inside with another man waiting in the parking lot. The w...",537,Stealing068_x264,"A gray car drove past the white truck. The gray car drove back to the white truck A man in gray rushed to the back of the white car from behind  After two more people got out of the gray car, they pried open the door and moved the contents of the tru...",0.451473593711853
25,Abuse026_x264,Abuse,"A powerful and tall man threw a woman to the ground The tall man forcibly kissed the woman on the ground. At this time, a passing man saw and stopped him The man passing by communicated with the man, but the tall man ignored him. At this time, a woma...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.45137086510658264
364,Robbery030_x264,Robbery,"The screen lights up with three men entering the house to move things into a bucket Three men moved things, two men stood with their hands raised  Several men continue to move things Two men sat in two corners waiting for three men to leave with buck...",1074,Normal_Videos433_x264,"A man in a black shirt and brown pants walks from the left side of the screen to the right side A man in white in the lower left corner moved a wooden shelf In the video outside a container, there are men in black clothes walking, red clothes, green ...",0.45071467757225037
426,Shooting008_x264,Shooting,The fat man in black is looking for something The fat man in black fell down A fat man in black crossed the fence The fat man in black is rolling The fat man in black picked up the gun A man in black walked to the right from the intersection The fat ...,582,Normal_Videos_019_x264,The woman with blond hair and black clothes in the lower left corner is talking on the phone with her back to the cash register and fiddling with something in her hand The woman with blond hair and black clothes turned around to check the status of t...,0.44965386390686035
415,Robbery081_x264,Robbery,"Two men in black struggled, and one of them fell to the ground after being held down and beaten several times. Two men on the left fought, and another man jumped into the cashier with a red bag and robbed. A man dragged another man lying on the groun...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.4494619071483612
7,Abuse008_x264,Abuse,A female police officer in black uniform bent down and took off the shoes of a woman who was sitting in the prison and threw the shoes on the ground The female police officer asked the woman to stand up and lie on the wall and searched her body from ...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.448178231716156
46,Arrest011_x264,Arrest,"A man in a red shirt smokes at the door. Many people ran out from the door. Two men in orange clothes drove a man in gray clothes out of the door and prevented him from entering. The man in gray clothes punched a man in orange clothes, and was knocke...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4476923942565918
153,Burglary033_x264,Burglary,A young white man wearing a black coat with a white pattern on the back was groping in front of the door and trying to open it. The man looked into the room from the window next to him. The man continued to turn the door handle twice The man then qui...,516,Stealing045_x264,"A man came from a distance and wandered near the vehicle, looking around for opportunities and then tried to open the trunk of the vehicle. The man took out a flashlight and shined it into the vehicle, opened the driver's door and entered it. After 3...",0.4452436864376068
76,Arrest041_x264,Arrest,"A man in black wearing a hat and a red scarf passed by. A man in police uniform walked to the door, opened it and held a gun.  Several men in police uniforms rushed to the door with guns. A man in black with a hat ran out with a yellow object in his ...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.4448905289173126
113,Assault018_x264,Assault,"Two men appeared. The man walking behind punched the man in front and knocked him to the ground, then turned and left. The man lying on the ground was motionless....",554,Vandalism009_x264,A shirtless man wearing jeans walked to the middle of the road and pointed behind him The bare-chested man wearing jeans took a slight approach and kicked the luminous object on the right. Another shirtless man wearing jeans ran out and punched the o...,0.4444010555744171
226,Fighting036_x264,Fighting,Two men and five men fighting in the street A man was knocked to the ground The man stood up and was kicked to the ground again  Several men continued to punch and kick the two men.  Several men came out from behind the background board and continued...,554,Vandalism009_x264,A shirtless man wearing jeans walked to the middle of the road and pointed behind him The bare-chested man wearing jeans took a slight approach and kicked the luminous object on the right. Another shirtless man wearing jeans ran out and punched the o...,0.4441767930984497
221,Fighting031_x264,Fighting,"A group of people walked by Two cars drove away, and several pedestrians passed by A man wearing a hat pulled a man in yellow who was riding a bicycle The man in yellow got out of the car and argued with him A quarrel occurred when a man picked up a ...",553,Vandalism008_x264,"A man in blue clothes, gray pants and black shoes walked up to a man in white who was leaning on the railing. There are five people standing next to you on the street The man in blue walked to the man in white while shaking his body. Three of the fiv...",0.4426668882369995
143,Burglary023_x264,Burglary,A man was trying to move a bicycle near the door of a room. The man stood up the bicycle The man moved behind the door and continued the operation. The man dragged out the bicycle and placed it on the ground. The man ran towards the room and turned o...,521,Stealing050_x264,"A man rode a bicycle to a black car and opened the door and entered it. After searching, the man left the car The man got on his bicycle and left...",0.4424564242362976
16,Abuse017_x264,Abuse,"A woman in a white top pushed the child in orange clothes next to her to the ground. The cashier saw it and stood by, ignoring it, still playing with her mobile phone with her legs crossed. The child got up from the ground. A woman wearing a white to...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.44199803471565247
348,Robbery014_x264,Robbery,A white-haired man wearing a gray short-sleeved shirt put something into his pocket and walked into the counter and placed a few pieces of paper on the counter. The black man wearing a striped white shirt next to him took a piece of white paper and w...,78,Arson001_x264,The door of a white car parked in front of the house opened A woman got off the car from the back door and walked to the door of the house next to her. The woman smashed the door of the house with an ax and then went back into the car and closed the ...,0.44073420763015747
165,Burglary045_x264,Burglary," Two men cooperated in front of the glass door of a small grocery store to pry open the door. One of the men was wearing a black top and dark trousers, and the other man was wearing a black top and light trousers. It’s useless for a person in light-c...",560,Vandalism015_x264,"A man in black clothes and a black hat walked to the door of a store with something in his hand. The door of the store was covered with glass. The man in the black hat looked towards the store for a while, then continued to walk along the sidewalk wh...",0.43903592228889465
120,Assault026_x264,Assault,"A man wearing a white T-shirt beat a man in blue on the seat next to him. A man in black came to break up the fight, but the man in white continued to beat the man in gray and then left...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.4385971128940582
26,Abuse027_x264,Abuse,"A baby was rocking on a cradle made of blue cloth. The woman next to him first pulled the baby over and looked at it, then left with the bottle and went back to take a look. walked away. A woman wearing a pink top walked to the sofa with a milk bottl...",875,Normal_Videos212_x264,"A woman in an orange top and black pants came out and arranged the clothes on the rack, walked to the edge of the shelf and squatted down The lady repeatedly took out items and put them on the shelf, took the goods, looked at her phone, and repeated ...",0.43846049904823303
37,Arrest002_x264,Arrest,A man in a blue shirt passed under the screen. A man with a blue upper body and a gray lower body leans against the goal post. A man in a white T-shirt quickly ran over and subdued the man leaning against the goalpost to the ground. A man in a blue s...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.43823957443237305
370,Robbery036_x264,Robbery,Three people communicating at the workstation A man wearing a black hoodie walked to the middle counter to do business The teller ran away and a man in black jumped in and rummaged through the counter. Three tellers ran into the far room one after an...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.43757063150405884
159,Burglary039_x264,Burglary,A red car drove up and parked in front of the iron gate of a small courtyard outside a house. A man in gray clothes got out of the driver's seat of the car The man in gray clothes parked the car on the left side and stood looking around. The man in g...,558,Vandalism013_x264,"A man in a gray shirt, a yellow shirt and a blue shirt walked towards the roadside where a Christmas tree and a red object were surrounded by red railings Men in yellow shirts and gray shirts push red objects with their hands The man in the yellow sh...",0.4365009665489197
349,Robbery015_x264,Robbery,"A man wearing a hat, a blue backpack and a black shirt broke into the house, followed by a man wearing a black hat. A man wearing a black hat and blue short-sleeves rushed into the counter with a gun, pointing at the woman sitting inside the counter ...",454,Shoplifting006_x264,"A woman picked up a large bottle of water, put it down after drinking it, and sat next to it. The man in the blue hat stood up, took the salesman's necklace and started trying it on, glancing at the camera from time to time. A child and three women c...",0.4358426332473755
210,Fighting020_x264,Fighting,Two women had a quarrel on the road The woman in beige skirt on the left punches the woman in purple skirt The man in the black jacket pulled the two apart A woman in a coat from behind pulled the woman in a purple skirt to the ground The man in the ...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.43581172823905945
183,Burglary063_x264,Burglary, An African-American man wearing a white T-shirt and a white baseball cap came out of the room with a large-screen TV in his left arm. The man came down the small stairs in front of the door and left along the path in front of the door. The man appea...,774,Normal_Videos093_x264,"A man in black clothes and black pants walked from the inside of the house to the door. Beside the aisle are some desks, chairs and a couch A man wearing a dark blue shirt and blue jeans walked quickly down the stairs enclosed by glass inside the roo...",0.4352634847164154
445,Shooting028_x264,Shooting,There is an old man holding something in front of the camera A man came out from the distance...,593,Normal_Videos_051_x264,There is a white old man nearby crossing the road and walking into the distance The white old man entered a silver car The silver car started and left the camera along the road from the upper right to the lower left...,0.4351238012313843
377,Robbery043_x264,Robbery,Two men with guns entered. The man in black jumped into the counter and forced the woman to open the counter. Woman opens the cashier The man in black keeps throwing money from the cashier to the man in white Woman opens another cashier The man in bl...,468,Shoplifting021_x264,"In a store, a male boss took an earring from a box and showed it to a woman The man puts on the earrings for the woman  The woman was satisfied and exposed the ear with the earring for the man to see. The woman then looked at the mirror aside, The wo...",0.43443870544433594
170,Burglary050_x264,Burglary,"A dark-skinned man wearing a white helmet and a black coat entered the small supermarket. Looked around, then took off his coat, Come to the counter and point your finger in the direction behind the counter, seemingly having a conversation with the c...",747,Normal_Videos064_x264,"In a supermarket, a young man wearing a black shirt, black shorts and a black hat took an item from the shelf, looked around and walked to the counter. In a supermarket, a dark-skinned man wearing a white shirt and black pants walked around the shelv...",0.43403008580207825
